name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
6698-56637-387,11:21:59.89,+52:53:27.35,0.47,2.17,19.87,38.97,3.36,0.79,110.84,0.24,$\rm C^{\star}$
5417-55978-379,12:58:47.46,+07:20:04.28,0.47,2.50,19.07,16.58,3.08,0.36,204.29,0.83,$\rm C^{\star}$
6265-56248-229,01:31:21.58,+28:48:15.07,0.27,2.63,18.71,11.93,1.31,0.15,129.58,0.40,C
7770-58044-599,23:11:39.66,+30:36:01.54,0.68,2.17,20.14,27.28,2.55,0.81,237.19,0.88,C
6982-56444-990,15:07:49.64,+61:29:22.88,0.52,2.26,19.06,21.62,2.00,2.07,292.28,1.59,C
5904-56046-363,14:40:21.11,+20:04:16.94,0.55,2.25,19.92,24.65,2.42,3.35,141.43,0.36,$\rm C^{\star}$
3754-55488-639,07:55:23.52,+34:45:39.59,0.72,2.64,20.54,13.08,3.39,9.58,220.67,0.80,$\rm A^{\star}$
4242-55476-473,02:50:46.17,-00:18:06.06,0.69,2.51,19.40,10.03,2.04,0.27,321.08,1.70,C
7048-56575-335,01:31:48.59,-05:30:37.62,0.49,2.79,19.87,14.99,3.51,1.04,176.50,0.63,$\rm B^{\star}$
4491-55570-827,08:24:33.60,+19:07:04.56,0.52,2.88,19.74,11.48,2.46,9.55,115.14,0.26,$\rm C^{\star}$
4373-55811-88,01:11:20.66,-03:15:59.42,0.45,2.93,18.75,10.78,2.28,7.18,278.33,1.62,$\rm C^{\star}$
8203-57428-835,13:56:20.53,+56:57:07.18,0.82,2.28,20.27,15.89,2.35,1.74,157.10,0.35,C
5777-56280-230,09:17:27.91,+25:00:27.47,0.33,2.44,18.19,18.34,3.23,1.05,222.36,1.10,$\rm C^{\star}$
3810-55531-231,08:44:32.92,+01:53:40.20,0.59,2.74,20.00,11.55,2.00,2.58,215.17,0.86,$\rm C^{\star}$
5770-56014-268,09:31:46.74,+20:51:11.30,0.32,2.66,18.07,13.64,2.47,6.24,203.06,0.94,C
4038-55363-819,14:06:39.02,-02:05:26.44,0.53,2.76,19.75,8.46,2.11,1.70,203.41,0.80,$\rm C^{\star}$
